key,title_norm,pubid,scholar_cites,has_scholar_id
metcalfe2022emotion,an exploration of the impact of contextual information on the emotion recognition ability of autistic adults,hCrLmN-GePgC,11,FALSE
mo2014bodysize,perceptions of female body size and shape in china,GnPB-g6toBAC,23,FALSE
molho2016hexaco,the six dimensions of personality hexaco,1sJd4Hv_s6UC,34,FALSE
morina2016ptsdchildren,interventions for children and adolescents with posttraumatic stress disorder a metaanalysis of comparative outcome studies,nb7KW1ujOQ8C,353,FALSE
morina2018ptsd,prevalence of depression and posttraumatic stress disorder in adult civilian survivors of war who stay in warafflicted regions a systematic review and metaanalysis of epidemiological studies,wbdj-CoPYUoC,247,FALSE
murphy2024hoarding,a qualitative study of the impact of hoarding behaviours and social networks on older peoples supported housing decisions,8xutWZnSdmoC,1,FALSE
nettle2008wealth,natural selection for male wealth,u5HHmVD_uO8C,336,FALSE
newman2023eyecolour,consistency of eye coloration across different relationship partners,NXb4pA-qfm4C,1,FALSE
noe2016foursquare,birds of a feather locate together foursquare,abG-DnoFyZgC,61,FALSE
odowd2018pedestrian,gender differences in use of a pedestrian crossing an observational study in newcastle upon tyne,kRWSkSYxWN8C,17,FALSE
orhan2025foodie,comparing foodie calls in poland,DUooU5lO8OsC,3,FALSE
peperkoorn2016red,revisiting the red effect on attractiveness and sexual receptivity no effect of the color red on human mate preferences,OU6Ihb5iCvQC,59,FALSE
peperkoorn2024red,metaanalysis of the red advantage in combat sports,nVrZBo8bIpAC,2,FALSE
pollet2006grandparentscontact,contact frequencies between grandparents and grandchildren in a modern society estimates of the impact of paternity uncertainty,qjMakFHDy7sC,95,FALSE
pollet2006niecesnephews,when nieces and nephews become important differences between childless women and mothers in relationships with nieces and nephews,zYLM7Y9cAGgC,44,FALSE
pollet2007birthordercontact,birth order and facetoface contact with a sibling firstborns have more contact than laterborns,IjCSPb-OGe4C,57,FALSE
pollet2007grandmothers,maternal grandmothers do go the extra mile factoring distance and lineage into differential investment in grandchildren,Tyk-4Ss8FVUC,104,FALSE
pollet2007relatedness,genetic relatedness and sibling relationship characteristics in a modern society,UeHWp8X0CEIC,136,FALSE
pollet2008bargain,driving a hard bargain sex ratio and male marriage success in a historical us,d1gkVwhDpl0C,175,FALSE
pollet2008childless,childlessness predicts helping of nieces and nephews in united states,ufrVoPGSRksC,25,FALSE
pollet2008guatemala,taller women do better in a stressed environment height and reproductive success in rural guatemalan,9yKSN-GCB0IC,75,FALSE
pollet2009birthordersibling,birth order and family relationships in adult life firstborns report better sibling relationships than laterborns,WF5omc3nYNoC,73,FALSE
pollet2009deadoralive,dead or alive knowledge about a siblings death varies by genetic relatedness in a modern society,aqlVkmm33-oC,7,FALSE
pollet2009lineage,lineage based differences in grandparental investment evidence from a large british,Y0pCki6q_DkC,116,FALSE
pollet2009orgasm,partner wealth predicts selfreported orgasm frequency in a sample of chinese,2osOgNQ5qMEC,65,FALSE
pollet2009polygyny,market forces affect patterns of polygyny in uganda,W7OEmFMy1HYC,66,FALSE
pollet2009sexratio,sex ratio biasing towards daughters among lowerranking cowives in rwanda,eQOLeE2rZwMC,49,FALSE
pollet2010birthorder,birth order and the dominance aspect of extraversion are firstborns more extraverted than laterborns,Se3iqnhoufwC,32,FALSE
